Name-additional,yearID,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
mariomi01,2023,Michael Mariot,34,CIN,2.2,1,0,1,3.38,487.00%,-21.00%,-32.00%,0,10800.00%,514.00%,100.00%,10.00%,0.7,0,10.00%,1,0.555,0.5,,Free Agency
marquge01,2023,Germán Márquez,28,COL,20,4,4,11,4.95,487.00%,9.00%,23.00%,0,10080.00%,505.00%,0.00%,0.00%,,0,20.00%,2,0.507,0.5,"$15,300,000 ",Traded
marshal01,2023,Alec Marsh,25,KCR,74.1,17,8,50,6.05,468.00%,-17.00%,13.00%,0,10120.00%,504.00%,-900.00%,-90.00%,1.27,-0.1,-30.00%,-1,0.447,0.494,,Amateur Draft
martejo01,2023,José Marte,27,LAA,9.1,10,0,10,9.64,465.00%,-11.00%,-31.00%,0,9980.00%,444.00%,-600.00%,-50.00%,0.86,0,-40.00%,-5,0.446,0.497,,Free Agency
marteyu01,2023,Yunior Marte,28,PHI,39.1,40,0,27,6.18,494.00%,-24.00%,-33.00%,0.14,9790.00%,489.00%,-600.00%,-60.00%,1.17,-0.2,-30.00%,-2,0.486,0.497,"$725,500 ",Traded
martich02,2023,Chris Martin,37,BOS,51.1,55,0,6,1.05,473.00%,-11.00%,-32.00%,0.22,10490.00%,498.00%,2200.00%,230.00%,1.48,0.4,320.00%,27,0.542,0.514,"$8,000,000 ",Free Agency
martiad01,2023,Adrián Martinez,26,OAK,55,22,1,31,5.07,504.00%,-52.00%,-31.00%,0.1,9340.00%,499.00%,-100.00%,-10.00%,0.93,-0.1,30.00%,5,0.495,0.499,"$720,000 ",Traded
martiju01,2023,Justin Martinez,21,ARI,10,10,0,14,12.6,490.00%,25.00%,-32.00%,0,9650.00%,418.00%,-900.00%,-90.00%,0.36,0.3,-50.00%,-8,0.413,0.495,,Free Agency
martini01,2023,Nick Martínez,32,SDP,110.1,63,9,45,3.67,474.00%,34.00%,-11.00%,0.1,9380.00%,412.00%,600.00%,60.00%,1.24,-0.2,150.00%,16,0.509,0.504,"$10,000,000 ",Free Agency
martise01,2023,Seth Martinez,28,HOU,43,35,0,29,6.07,473.00%,16.00%,-32.00%,0.78,9690.00%,488.00%,-600.00%,-60.00%,0.9,-0.1,-30.00%,-2,0.482,0.496,"$730,200 ",Rule 5 Draft
