Name-additional,yearID,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
nelsory01,2023,Ryne Nelson,25,ARI,144,29,27,87,5.44,470.00%,28.00%,20.00%,0,9910.00%,458.00%,-1300.00%,-130.00%,0.42,-0.1,0.00%,0,0.455,0.492,"$722,700 ",Amateur Draft
nerishe01,2023,Héctor Neris,34,HOU,68.1,71,0,16,2.11,470.00%,13.00%,-31.00%,0.16,9890.00%,437.00%,1600.00%,170.00%,1.41,0.2,260.00%,24,0.524,0.51,"$8,000,000 ",Free Agency
newcose01,2023,Sean Newcomb*,30,OAK,15,7,2,5,3,490.00%,-37.00%,-7.00%,0,9630.00%,500.00%,300.00%,30.00%,0.56,-0.1,40.00%,5,0.548,0.502,,Traded
nicolky01,2023,Kyle Nicolas,24,PIT,5.1,4,0,7,11.81,437.00%,4.00%,-29.00%,0,10460.00%,423.00%,-400.00%,-40.00%,0.64,0.1,-30.00%,-4,0.397,0.497,,Traded
nittovi01,2023,Vinny Nittoli,32,NYM,3.2,3,0,1,2.45,490.00%,-9.00%,-32.00%,0,9730.00%,454.00%,100.00%,10.00%,0.48,0,10.00%,1,0.529,0.501,,Traded
nogosst01,2023,Stephen Nogosek,28,NYM,25.2,13,0,16,5.61,468.00%,-9.00%,-31.00%,0,9890.00%,442.00%,-300.00%,-30.00%,0.73,0,-10.00%,-1,0.475,0.498,"$730,000 ",Traded
nolaaa01,2023,Aaron Nola,30,PHI,193.2,32,32,105,4.88,474.00%,-21.00%,22.00%,0,9910.00%,513.00%,600.00%,60.00%,,-0.1,230.00%,24,0.519,0.504,"$16,000,000 ",Free Agency
nolinse01,2023,Sean Nolin*,33,MIA,3,1,0,6,18,602.00%,-8.00%,-40.00%,0,10200.00%,581.00%,-400.00%,-30.00%,0.09,0.1,-10.00%,-4,0.214,0.498,,Traded
norrida01,2023,Daniel Norris*,30,CLE,12.2,7,0,11,7.82,457.00%,18.00%,-30.00%,0,10030.00%,410.00%,-500.00%,-50.00%,0.66,0.1,-30.00%,-4,0.426,0.497,"$100,000 ",Free Agency
oberba01,2023,Bailey Ober,27,MIN,144.1,26,26,58,3.62,461.00%,16.00%,21.00%,0,10100.00%,471.00%,1600.00%,170.00%,,-0.1,290.00%,31,0.565,0.51,,Amateur Draft
ohtansh01,2023,Shohei Ohtani,28,LAA,132,23,23,50,3.41,475.00%,-7.00%,21.00%,0,10340.00%,520.00%,2500.00%,270.00%,,-0.1,390.00%,39,0.618,0.517,"$30,000,000 ",Free Agency
okertst01,2023,Steven Okert*,31,MIA,58.2,64,2,31,4.76,490.00%,-4.00%,-31.00%,0.1,10210.00%,482.00%,100.00%,10.00%,1.01,-0.2,50.00%,6,0.501,0.5,,Free Agency
ollerad01,2023,Adam Oller,28,OAK,19.2,9,1,24,10.98,496.00%,-64.00%,-26.00%,0.28,9340.00%,525.00%,-1300.00%,-120.00%,0.88,0,-100.00%,-11,0.371,0.493,"$720,000 ",Traded
olsonre01,2023,Reese Olson,23,DET,103.2,21,18,49,4.25,464.00%,13.00%,18.00%,0,10410.00%,488.00%,600.00%,60.00%,1.02,-0.1,150.00%,17,0.53,0.504,,Traded
ortka01,2023,Kaleb Ort,31,BOS,23,21,2,19,7.43,483.00%,-12.00%,-22.00%,0.24,10720.00%,533.00%,-600.00%,-60.00%,0.74,0,-30.00%,-3,0.473,0.497,"$722,000 ",Rule 5 Draft
ortegol01,2023,Oliver Ortega,26,MIN,14.2,10,0,7,4.3,494.00%,17.00%,-33.00%,0,9710.00%,432.00%,0.00%,0.00%,0.61,0,10.00%,1,0.499,0.5,,Waivers
ortizlu02,2023,Luis Ortiz,27,PHI,19,14,0,7,3.32,462.00%,-23.00%,-30.00%,0,9740.00%,443.00%,200.00%,20.00%,0.21,-0.2,30.00%,4,0.517,0.502,,Waivers
ortizlu03,2023,Luis Ortiz,24,PIT,86.2,18,15,50,5.19,472.00%,5.00%,19.00%,0,10130.00%,492.00%,-200.00%,-20.00%,0.7,-0.1,50.00%,6,0.486,0.498,,Free Agency
ottavad01,2023,Adam Ottavino,37,NYM,61.2,66,0,24,3.5,479.00%,-8.00%,-32.00%,0.09,9540.00%,443.00%,700.00%,70.00%,1.38,0,120.00%,12,0.51,0.504,"$7,250,000 ",Free Agency
ottogl01,2023,Glenn Otto,27,TEX,10.2,6,0,12,10.13,515.00%,27.00%,-34.00%,0,10610.00%,481.00%,-600.00%,-60.00%,0.95,0,-50.00%,-5,0.4,0.496,,Traded
overtco01,2023,Connor Overton,29,CIN,11,3,3,14,11.45,518.00%,-20.00%,24.00%,0,10410.00%,585.00%,-700.00%,-60.00%,,0,-50.00%,-6,0.311,0.497,"$730,000 ",Free Agency
oviedjo01,2023,Johan Oviedo,25,PIT,177.2,32,32,91,4.61,462.00%,4.00%,22.00%,0,10150.00%,487.00%,500.00%,60.00%,,-0.1,210.00%,23,0.517,0.503,"$735,000 ",Traded
owingch01,2023,Chris Owings,31,PIT,1,1,0,0,0,444.00%,9.00%,-29.00%,0,9200.00%,374.00%,0.00%,0.00%,0,0,0.00%,1,0.543,0.5,"$100,000 ",Free Agency
paddach01,2023,Chris Paddack,27,MIN,5,2,0,3,5.4,428.00%,15.00%,-29.00%,0,11500.00%,442.00%,-100.00%,-10.00%,0.53,0,0.00%,0,0.47,0.5,"$2,500,000 ",Traded
padilni01,2023,Nicholas Padilla,26,CHW,4.2,3,0,3,5.79,486.00%,-34.00%,-32.00%,0,10710.00%,522.00%,0.00%,0.00%,0.85,0,0.00%,0,0.488,0.5,,Waivers
paganem01,2023,Emilio Pagán,32,MIN,69.1,66,1,26,3.38,455.00%,16.00%,-30.00%,0.33,10130.00%,447.00%,800.00%,80.00%,1.14,-0.1,140.00%,15,0.512,0.505,"$3,500,000 ",Traded
palenda01,2023,Daniel Palencia,23,CHC,28.1,27,0,16,5.08,454.00%,22.00%,-30.00%,0.8,10390.00%,501.00%,0.00%,0.00%,1.11,-0.1,20.00%,3,0.499,0.5,,Traded
pallaan01,2023,Andre Pallante,24,STL,68,62,0,37,4.9,473.00%,-2.00%,-31.00%,0,9960.00%,443.00%,-300.00%,-30.00%,1.16,-0.2,10.00%,3,0.495,0.498,"$728,600 ",Amateur Draft
pannoth01,2023,Thomas Pannone*,29,MIL,2.2,1,0,2,6.75,451.00%,51.00%,-30.00%,0,10200.00%,378.00%,-100.00%,-10.00%,1.15,0,-10.00%,-1,0.418,0.499,,Free Agency
parsowe01,2023,Wes Parsons,30,TOR,4,1,1,9,20.25,561.00%,91.00%,26.00%,0,9800.00%,486.00%,-700.00%,-40.00%,,0,-40.00%,-6,0.117,0.498,,Free Agency
patinlu01,2023,Luis Patiño,23,2TM,21.2,9,1,12,4.98,475.00%,-22.00%,-26.00%,0,10430.00%,491.00%,0.00%,0.00%,0.28,0,20.00%,2,0.497,0.5,,Purchased
pattosp01,2023,Spencer Patton,35,OAK,12.1,12,0,7,5.11,442.00%,-57.00%,-29.00%,0,9580.00%,450.00%,-100.00%,-10.00%,0.73,0,0.00%,0,0.492,0.499,,Free Agency
paxtoja01,2023,James Paxton*,34,BOS,96,19,19,51,4.78,460.00%,-11.00%,20.00%,0,10380.00%,510.00%,200.00%,20.00%,,-0.1,110.00%,13,0.512,0.501,"$4,000,000 ",Free Agency
payamjo01,2023,Joel Payamps,29,MIL,70.2,69,0,24,3.06,469.00%,40.00%,-31.00%,0.24,9830.00%,415.00%,900.00%,90.00%,1.56,0,160.00%,16,0.513,0.505,"$730,500 ",Traded
pearsna01,2023,Nate Pearson,26,TOR,42.2,35,0,25,5.27,470.00%,53.00%,-31.00%,0.13,9980.00%,398.00%,-700.00%,-70.00%,0.77,0,-30.00%,-2,0.481,0.496,,Amateur Draft
pegueel01,2023,Elvis Peguero,26,MIL,61.1,59,0,25,3.67,467.00%,42.00%,-31.00%,0.37,9890.00%,426.00%,400.00%,40.00%,1.52,-0.1,100.00%,10,0.507,0.503,,Traded
pepiory01,2023,Ryan Pepiot,25,LAD,42,8,3,10,2.14,430.00%,40.00%,12.00%,0,10260.00%,412.00%,900.00%,100.00%,0.65,-0.1,130.00%,13,0.627,0.506,,Amateur Draft
peralfr01,2023,Freddy Peralta,27,MIL,165.2,30,30,77,4.18,465.00%,38.00%,22.00%,0,9880.00%,444.00%,500.00%,50.00%,,-0.1,200.00%,21,0.517,0.503,"$3,734,960 ",Traded
peralsa01,2023,Sammy Peralta*,25,CHW,20,16,0,11,4.95,476.00%,-30.00%,-32.00%,0.28,10520.00%,529.00%,100.00%,10.00%,0.66,-0.1,20.00%,3,0.503,0.5,,Amateur Draft
peralwa01,2023,Wandy Peralta*,31,NYY,54,63,0,19,3.17,487.00%,12.00%,-32.00%,0.1,10170.00%,460.00%,800.00%,80.00%,1.47,0.1,140.00%,14,0.513,0.505,"$3,350,000 ",Traded
perdoan01,2023,Ángel Perdomo*,29,PIT,29,30,0,14,4.34,469.00%,3.00%,-31.00%,0.59,10140.00%,501.00%,200.00%,20.00%,1.11,-0.1,40.00%,5,0.507,0.501,,Free Agency
perezca02,2023,Carlos Pérez,32,OAK,1.2,2,0,2,10.8,535.00%,-82.00%,-36.00%,0,9200.00%,535.00%,-100.00%,-10.00%,0,0,0.00%,-1,0.45,0.499,"$740,000 ",Free Agency
perezci01,2023,Cionel Pérez*,27,BAL,53.1,65,0,30,5.06,472.00%,18.00%,-31.00%,0.11,9600.00%,416.00%,-600.00%,-60.00%,1.19,-0.2,-30.00%,0,0.491,0.496,"$732,400 ",Waivers
perezeu02,2023,Eury Pérez,20,MIA,91.1,19,19,35,3.45,457.00%,-4.00%,21.00%,0,10350.00%,498.00%,1600.00%,170.00%,,-0.1,250.00%,25,0.589,0.51,,Free Agency
perezfr01,2023,Francisco Pérez*,25,OAK,16.2,17,1,12,6.48,470.00%,-51.00%,-28.00%,0.33,9690.00%,511.00%,-300.00%,-30.00%,1.14,-0.1,-20.00%,-1,0.484,0.498,,
perezhe02,2023,Hector Perez,27,TBR,0.1,1,0,1,27,443.00%,62.00%,-30.00%,0,9200.00%,324.00%,-100.00%,-10.00%,0.25,0,-10.00%,-1,0.416,0.499,,Waivers
perezma02,2023,Martín Pérez*,32,TEX,141.2,35,20,74,4.7,459.00%,28.00%,9.00%,0,10350.00%,456.00%,-400.00%,-40.00%,0.84,-0.1,80.00%,11,0.488,0.497,"$19,650,000 ",Free Agency
peterda01,2023,David Peterson*,27,NYM,111,27,21,64,5.19,481.00%,-9.00%,19.00%,0,9490.00%,483.00%,-400.00%,-40.00%,0.62,-0.1,50.00%,6,0.484,0.497,"$750,000 ",Amateur Draft
peterja01,2023,Jace Peterson,33,OAK,2,2,0,2,9,483.00%,-68.00%,-32.00%,0,10720.00%,557.00%,-100.00%,-10.00%,0,0,0.00%,-1,0.461,0.5,,Free Agency
pfaadbr01,2023,Brandon Pfaadt,24,ARI,96,19,18,63,5.91,472.00%,26.00%,22.00%,0,9940.00%,465.00%,-1300.00%,-130.00%,0.82,-0.1,-40.00%,-4,0.434,0.492,,Amateur Draft
phillbr02,2023,Brett Phillips,29,LAA,0.1,1,0,0,0,567.00%,-19.00%,-38.00%,0,10800.00%,591.00%,0.00%,0.00%,0.01,0,0.00%,0,0.522,0.5,"$1,200,000 ",Free Agency
phillco01,2023,Connor Phillips,22,CIN,20.2,5,5,16,6.97,461.00%,-15.00%,22.00%,0,10730.00%,534.00%,-400.00%,-40.00%,,0,-20.00%,-2,0.43,0.498,,Traded
phillev01,2023,Evan Phillips,28,LAD,61.1,62,0,19,2.79,468.00%,37.00%,-31.00%,0.27,9820.00%,420.00%,1000.00%,100.00%,1.44,0,160.00%,16,0.516,0.506,"$1,300,000 ",Waivers
pilkiko01,2023,Konnor Pilkington*,25,CLE,2,1,0,0,0,434.00%,14.00%,-29.00%,0,9400.00%,368.00%,100.00%,10.00%,0.13,0,10.00%,1,0.586,0.501,,Traded
pintri01,2023,Riley Pint,25,COL,0.1,1,0,1,27,462.00%,16.00%,-30.00%,0,13000.00%,540.00%,-100.00%,-10.00%,0.09,0,0.00%,-1,0.425,0.5,,Amateur Draft
pintore02,2023,René Pinto,26,TBR,1,1,0,5,45,514.00%,41.00%,-34.00%,0,9600.00%,421.00%,-500.00%,-30.00%,0,0.2,-20.00%,-4,0.19,0.498,,Free Agency
pivetni01,2023,Nick Pivetta,30,BOS,142.2,38,16,69,4.35,468.00%,-9.00%,10.00%,0.04,10410.00%,512.00%,1000.00%,110.00%,1.17,-0.1,230.00%,26,0.529,0.507,"$5,350,000 ",Traded
plassmi01,2023,Michael Plassmeyer*,26,PHI,3.2,1,1,10,24.55,476.00%,-33.00%,22.00%,0,9200.00%,488.00%,-800.00%,-40.00%,,0,-40.00%,-8,0.096,0.498,,Free Agency
plesaza01,2023,Zach Plesac,28,CLE,21.1,5,5,20,8.44,469.00%,23.00%,19.00%,0,9710.00%,451.00%,-1000.00%,-80.00%,,0,-60.00%,-7,0.334,0.495,"$2,950,000 ",Amateur Draft
pocheco01,2023,Colin Poche*,29,TBR,60.2,66,0,17,2.52,467.00%,14.00%,-31.00%,0.09,9700.00%,418.00%,1000.00%,110.00%,1.4,0.1,170.00%,17,0.516,0.507,"$1,175,000 ",Traded
popza01,2023,Zach Pop,26,TOR,13.2,15,0,11,7.24,455.00%,51.00%,-30.00%,0.41,10150.00%,421.00%,-500.00%,-50.00%,1.03,0,-40.00%,-3,0.468,0.497,"$742,200 ",Traded
pressry01,2023,Ryan Pressly,34,HOU,65.1,65,0,33,4.55,469.00%,15.00%,-31.00%,0.09,9860.00%,425.00%,-300.00%,-30.00%,1.56,-0.2,10.00%,4,0.495,0.498,"$14,000,000 ",Traded
priesqu01,2023,Quinn Priester,22,PIT,50,10,8,43,7.74,478.00%,5.00%,22.00%,0,9970.00%,494.00%,-1500.00%,-140.00%,0.73,0,-90.00%,-11,0.363,0.492,,Amateur Draft
pruitau01,2023,Austin Pruitt,33,OAK,48.1,38,6,18,3.35,481.00%,-53.00%,-30.00%,0.34,9640.00%,519.00%,900.00%,100.00%,1.2,0,140.00%,15,0.525,0.506,,Free Agency
pukaj01,2023,A.J. Puk*,28,MIA,56.2,58,0,29,4.61,477.00%,-4.00%,-31.00%,0.2,10170.00%,478.00%,100.00%,10.00%,1.55,-0.1,60.00%,7,0.502,0.501,"$736,000 ",Traded
quantca01,2023,Cal Quantrill,28,CLE,99.2,19,19,59,5.33,469.00%,20.00%,21.00%,0,9700.00%,457.00%,-1000.00%,-90.00%,,-0.1,-10.00%,1,0.45,0.494,"$5,550,000 ",Traded
quezajo01,2023,Johan Quezada,28,MIA,0.2,1,0,3,40.5,602.00%,-7.00%,-39.00%,0,10400.00%,593.00%,-300.00%,-20.00%,0.29,0.1,-10.00%,-2,0.293,0.499,,Free Agency
quijajo01,2023,José Quijada*,27,LAA,9,10,0,7,7,464.00%,-10.00%,-31.00%,0,10450.00%,463.00%,-200.00%,-20.00%,1.71,-0.1,-30.00%,-2,0.475,0.498,"$750,000 ",Waivers
quintjo01,2023,Jose Quintana*,34,NYM,75.2,13,13,33,3.93,492.00%,-10.00%,23.00%,0,9590.00%,503.00%,900.00%,100.00%,,-0.1,170.00%,17,0.577,0.506,"$13,000,000 ",Free Agency
raganco01,2023,Cole Ragans*,25,2TM,96,29,12,40,3.75,471.00%,-5.00%,10.00%,0.12,10370.00%,516.00%,1400.00%,160.00%,1.21,-0.1,240.00%,24,0.555,0.504,"$724,145 ",Traded
raineta01,2023,Tanner Rainey,30,WSN,1,1,0,0,0,602.00%,-18.00%,-40.00%,0,10200.00%,592.00%,100.00%,10.00%,0.26,0,10.00%,1,0.57,0.5,"$1,500,000 ",Traded
raleybr01,2023,Brooks Raley*,35,NYM,54.2,66,0,19,3.13,477.00%,-8.00%,-31.00%,0.1,9530.00%,442.00%,800.00%,80.00%,1.34,0,130.00%,13,0.512,0.505,"$4,500,000 ",Traded
raleylu01,2023,Luke Raley,28,TBR,2.2,2,0,9,30.38,423.00%,35.00%,-28.00%,0,9840.00%,354.00%,-800.00%,-60.00%,0,0.3,-30.00%,-8,0.214,0.496,"$722,300 ",Traded
ramirer02,2023,Erasmo Ramírez,33,2TM,60.1,38,2,47,7.01,467.00%,-1.00%,-26.00%,0.09,9870.00%,446.00%,-1700.00%,-170.00%,0.82,0.1,-110.00%,-11,0.456,0.495,"$1,000,000 ",Free Agency
ramirni01,2023,Nick Ramirez*,33,NYY,40.2,32,0,17,3.76,490.00%,15.00%,-33.00%,0.56,10320.00%,513.00%,600.00%,60.00%,0.85,-0.1,90.00%,10,0.519,0.504,,Free Agency
ramiryo01,2023,Yohan Ramírez,28,2TM,38.1,31,0,21,4.93,462.00%,1.00%,-30.00%,0,10290.00%,444.00%,-200.00%,-20.00%,0.75,-0.1,0.00%,2,0.493,0.5,,Waivers
ramsela02,2023,Lane Ramsey,26,CHW,20,21,0,13,5.85,444.00%,-32.00%,-30.00%,0,10730.00%,479.00%,-300.00%,-30.00%,0.63,0,-10.00%,0,0.488,0.498,,Amateur Draft
rasmudr01,2023,Drew Rasmussen,27,TBR,44.2,8,8,13,2.62,430.00%,14.00%,20.00%,0,9920.00%,433.00%,800.00%,90.00%,,0,130.00%,13,0.609,0.505,"$739,700 ",Traded
rayro02,2023,Robbie Ray*,31,SEA,3.1,1,1,5,13.5,411.00%,11.00%,19.00%,0,8800.00%,368.00%,-400.00%,-30.00%,,0,-20.00%,-3,0.229,0.498,"$21,000,000 ",Free Agency
reaco01,2023,Colin Rea,32,MIL,124.2,26,22,65,4.69,471.00%,45.00%,21.00%,0,9650.00%,432.00%,-500.00%,-50.00%,0.49,-0.1,60.00%,7,0.481,0.497,,Free Agency
reedja02,2023,Jake Reed,30,LAD,0.2,1,0,6,81,500.00%,111.00%,-32.00%,0,10400.00%,371.00%,-600.00%,-30.00%,0.24,0.1,-20.00%,-6,0.151,0.498,,Waivers
reidfse01,2023,Sean Reid-Foley,27,NYM,7.2,8,0,3,3.52,498.00%,-5.00%,-33.00%,0,9450.00%,444.00%,100.00%,10.00%,0.98,0,10.00%,2,0.51,0.5,,Free Agency
reyesde02,2023,Denyi Reyes,26,NYM,19.2,9,3,17,7.78,532.00%,-10.00%,-2.00%,0,9230.00%,499.00%,-600.00%,-60.00%,0.85,0,-40.00%,-4,0.436,0.496,,Free Agency
reyesge01,2023,Gerardo Reyes,30,LAA,9.2,8,0,9,8.38,468.00%,-10.00%,-31.00%,0,10310.00%,460.00%,-400.00%,-40.00%,0.45,0.1,-20.00%,-3,0.449,0.497,,Free Agency
reyespa01,2023,Pablo Reyes,29,BOS,2,2,0,1,4.5,484.00%,-18.00%,-32.00%,0,11200.00%,526.00%,0.00%,0.00%,0,0,0.00%,0,0.507,0.5,,Purchased
richatr01,2023,Trevor Richards,30,TOR,72.2,56,3,41,5.08,492.00%,46.00%,-26.00%,0.08,9990.00%,428.00%,-700.00%,-70.00%,0.95,-0.1,-20.00%,1,0.487,0.495,"$1,500,000 ",Traded
richaly01,2023,Lyon Richardson,23,CIN,16.2,4,4,16,8.64,473.00%,-18.00%,22.00%,0,10800.00%,554.00%,-600.00%,-50.00%,,0,-40.00%,-4,0.373,0.497,,Amateur Draft
riosya01,2023,Yacksel Ríos,30,OAK,1.2,3,0,7,37.8,511.00%,-60.00%,-34.00%,0,9490.00%,510.00%,-600.00%,-50.00%,0.19,0.2,-30.00%,-6,0.326,0.497,,Purchased
roberda08,2023,David Robertson,38,2TM,65.1,62,0,28,3.86,478.00%,-7.00%,-32.00%,0.52,9700.00%,490.00%,800.00%,80.00%,1.91,0.2,160.00%,14,0.513,0.504,"$10,000,000 ",Traded
roberni01,2023,Nick Robertson,24,2TM,22.1,18,1,19,7.66,482.00%,16.00%,-30.00%,0.5,10550.00%,514.00%,-600.00%,-60.00%,0.92,-0.1,-50.00%,-4,0.465,0.498,,Traded
rodonca01,2023,Carlos Rodón*,30,NYY,64.1,14,14,51,7.13,486.00%,14.00%,22.00%,0,10440.00%,517.00%,-1500.00%,-140.00%,,0,-80.00%,-8,0.401,0.491,"$22,833,333 ",Free Agency
rodride01,2023,Dereck Rodríguez,31,2TM,5.1,4,0,9,15.19,477.00%,27.00%,-32.00%,0,10280.00%,430.00%,-600.00%,-60.00%,0.16,0.2,-30.00%,-6,0.36,0.498,,Waivers
rodried05,2023,Eduardo Rodríguez*,30,DET,152.2,26,26,59,3.48,454.00%,13.00%,21.00%,0,10200.00%,470.00%,1900.00%,200.00%,,-0.1,340.00%,35,0.578,0.513,"$14,000,000 ",Free Agency
rodriel02,2023,Elvin Rodríguez,25,TBR,3.1,1,0,0,0,622.00%,8.00%,-42.00%,0,9400.00%,538.00%,200.00%,20.00%,0.92,0,20.00%,2,0.725,0.501,,Free Agency
rodrigr01,2023,Grayson Rodriguez,23,BAL,122,23,23,62,4.57,470.00%,15.00%,22.00%,0,9640.00%,459.00%,-100.00%,-10.00%,,-0.1,90.00%,12,0.495,0.499,,Amateur Draft
rodrijo06,2023,Joely Rodríguez*,31,BOS,11,11,0,9,7.36,484.00%,-11.00%,-32.00%,0,10550.00%,488.00%,-300.00%,-30.00%,0.57,0,-20.00%,-2,0.471,0.498,"$1,500,000 ",Free Agency
rodrijo07,2023,José Rodríguez,27,SEA,3,1,0,3,9,499.00%,11.00%,-33.00%,0,10400.00%,473.00%,-100.00%,-10.00%,0.33,0,-10.00%,-1,0.368,0.499,,Free Agency
rodriye01,2023,Yerry Rodríguez,25,TEX,13.2,13,1,12,7.9,471.00%,28.00%,-31.00%,0,10170.00%,418.00%,-600.00%,-60.00%,0.52,0.1,-30.00%,-4,0.456,0.496,,Free Agency
rogerta01,2023,Taylor Rogers*,32,SFG,51.2,60,0,27,4.7,482.00%,-6.00%,-32.00%,0.44,9640.00%,482.00%,100.00%,10.00%,1.28,-0.1,40.00%,6,0.501,0.5,"$9,000,000 ",Free Agency
rogertr01,2023,Trevor Rogers*,25,MIA,18,4,4,9,4.5,468.00%,-4.00%,22.00%,0,10070.00%,498.00%,100.00%,10.00%,,0,30.00%,3,0.525,0.501,"$752,000 ",Amateur Draft
rogerty01,2023,Tyler Rogers,32,SFG,74,68,0,27,3.28,464.00%,-8.00%,-31.00%,0.08,9770.00%,438.00%,900.00%,90.00%,1.55,0,170.00%,16,0.514,0.506,"$1,675,000 ",Amateur Draft
rojasjo01,2023,Josh Rojas,29,ARI,2,2,0,4,18,460.00%,45.00%,-30.00%,0,9800.00%,377.00%,-300.00%,-30.00%,0,0.1,-10.00%,-3,0.361,0.498,"$2,575,000 ",Traded
rojasmi02,2023,Miguel Rojas,34,LAD,3,3,0,2,6,430.00%,59.00%,-28.00%,0,10940.00%,375.00%,-100.00%,-10.00%,0,0,0.00%,0,0.476,0.5,"$4,250,000 ",Traded
romdr01,2023,Drew Rom*,23,STL,33.2,8,8,34,9.09,488.00%,-2.00%,23.00%,0,9710.00%,498.00%,-1500.00%,-130.00%,,0,-100.00%,-12,0.336,0.492,,Traded
romanjo03,2023,Jordan Romano,30,TOR,59,59,0,20,3.05,476.00%,49.00%,-32.00%,0.86,9920.00%,477.00%,1100.00%,110.00%,2.1,0.5,210.00%,17,0.519,0.507,"$4,537,500 ",Rule 5 returned
romerjo01,2023,JoJo Romero*,26,STL,36.2,27,0,17,4.17,459.00%,-2.00%,-30.00%,0.62,9950.00%,489.00%,300.00%,30.00%,1.45,0,60.00%,7,0.511,0.502,,Traded
rosenke01,2023,Kenny Rosenberg*,27,LAA,33,7,3,14,3.82,462.00%,-9.00%,10.00%,0,10450.00%,503.00%,400.00%,40.00%,0.52,-0.1,70.00%,8,0.562,0.503,,Waivers
rucindr01,2023,Drew Rucinski,34,OAK,18,4,4,22,11,468.00%,-69.00%,21.00%,0,9330.00%,521.00%,-1200.00%,-90.00%,,0,-80.00%,-10,0.267,0.494,"$3,000,000 ",Free Agency
ruckemi01,2023,Michael Rucker,29,CHC,40.1,35,0,22,4.91,472.00%,25.00%,-31.00%,0,10220.00%,425.00%,-300.00%,-30.00%,0.49,0,10.00%,1,0.492,0.498,"$737,000 ",Rule 5 returned
ruizjo01,2023,José Ruiz,28,2TM,44.1,38,1,31,6.29,465.00%,20.00%,-29.00%,0.13,9940.00%,426.00%,-1000.00%,-90.00%,0.75,0,-50.00%,-6,0.476,0.498,"$925,000 ",Purchased
rutleja01,2023,Jackson Rutledge,24,WSN,20,4,4,15,6.75,492.00%,-20.00%,23.00%,0,9910.00%,531.00%,-300.00%,-30.00%,,0,-10.00%,-1,0.425,0.498,,Amateur Draft
ryanjo04,2023,Joe Ryan,27,MIN,161.2,29,29,83,4.62,455.00%,16.00%,21.00%,0,10190.00%,468.00%,-100.00%,-10.00%,,-0.1,130.00%,17,0.497,0.499,"$730,250 ",Traded
ryanry01,2023,Ryder Ryan,28,SEA,1,1,0,0,0,552.00%,3.00%,-37.00%,0,8800.00%,451.00%,0.00%,10.00%,0.03,0,0.00%,1,0.552,0.5,,Free Agency
ryuhy01,2023,Hyun Jin Ryu*,36,TOR,52,11,11,25,4.33,481.00%,63.00%,22.00%,0,10040.00%,441.00%,0.00%,0.00%,,0,40.00%,5,0.499,0.5,"$20,000,000 ",Free Agency
saalfan01,2023,Andrew Saalfrank*,25,ARI,10.1,10,0,2,1.74,456.00%,25.00%,-30.00%,1.09,9940.00%,507.00%,400.00%,40.00%,1.3,0,50.00%,5,0.54,0.502,,Amateur Draft
salazed01,2023,Eduardo Salazar,25,CIN,12.1,8,0,11,8.03,503.00%,-21.00%,-33.00%,0,10580.00%,520.00%,-400.00%,-40.00%,0.15,0.1,-10.00%,-3,0.453,0.498,,Free Agency
salech01,2023,Chris Sale*,34,BOS,102.2,20,20,52,4.56,481.00%,-10.00%,22.00%,0,10330.00%,530.00%,700.00%,80.00%,,-0.1,170.00%,18,0.538,0.505,"$27,500,000 ",Traded
sanchcr01,2023,Cristopher Sánchez*,26,PHI,99.1,19,18,44,3.99,481.00%,-21.00%,22.00%,0,9620.00%,504.00%,1200.00%,120.00%,0,-0.1,210.00%,21,0.566,0.508,"$725,000 ",Traded
sandlni01,2023,Nick Sandlin,26,CLE,60,61,0,28,4.2,460.00%,14.00%,-31.00%,0.19,9680.00%,420.00%,-100.00%,-10.00%,1.24,-0.1,40.00%,6,0.499,0.5,"$726,000 ",Amateur Draft
sandopa02,2023,Patrick Sandoval*,26,LAA,144.2,28,28,89,5.54,465.00%,-9.00%,21.00%,0,10350.00%,513.00%,-800.00%,-80.00%,,-0.1,40.00%,7,0.47,0.495,"$2,750,000 ",Traded
sandsco01,2023,Cole Sands,25,MIN,21.2,15,0,10,4.15,487.00%,17.00%,-32.00%,0,10010.00%,437.00%,0.00%,0.00%,0.21,-0.1,20.00%,3,0.502,0.5,"$723,650 ",Amateur Draft
sanmare01,2023,Reiver Sanmartin*,27,CIN,14,14,0,13,8.36,515.00%,-19.00%,-34.00%,0,10210.00%,510.00%,-500.00%,-50.00%,0.76,0,-30.00%,-4,0.465,0.497,"$722,500 ",Free Agency
santade01,2023,Dennis Santana,27,NYM,10.2,9,0,7,5.91,433.00%,-9.00%,-29.00%,0,9480.00%,392.00%,-200.00%,-20.00%,0.41,0,-10.00%,-1,0.475,0.499,,Waivers
santito01,2023,Tony Santillan,26,CIN,3.1,3,0,1,2.7,458.00%,-20.00%,-30.00%,0,10200.00%,456.00%,100.00%,10.00%,1.73,0,10.00%,1,0.524,0.5,,Free Agency
santogr01,2023,Gregory Santos,23,CHW,66.1,60,0,29,3.93,476.00%,-30.00%,-32.00%,0,10460.00%,497.00%,700.00%,70.00%,1.2,-0.1,130.00%,14,0.512,0.504,"$720,000 ",Traded
